start_x,start_y,size
0.0,3.0,8797
0.0,4.0,6832
0.0,5.0,8980
0.0,6.0,9752
0.0,9.0,1723
0.0,10.0,6207
0.0,11.0,5850
0.0,12.0,6219
0.0,13.0,4630
0.0,14.0,4721
0.0,15.0,4645
1.0,3.0,24456
1.0,4.0,9867
1.0,5.0,21840
1.0,6.0,22208
1.0,7.0,5154
1.0,8.0,4609
1.0,9.0,2557
1.0,10.0,3300
1.0,11.0,7325
1.0,12.0,1619
1.0,13.0,1780
1.0,14.0,487
1.0,15.0,2208
2.0,3.0,5140
2.0,4.0,18679
2.0,5.0,22993
2.0,6.0,5019
2.0,7.0,20625
2.0,8.0,15929
2.0,9.0,23670
2.0,10.0,17417
2.0,11.0,4455
2.0,13.0,3001
2.0,15.0,38
3.0,3.0,10184
3.0,4.0,30828
3.0,5.0,15249
3.0,6.0,26003
3.0,7.0,22476
3.0,8.0,34572
3.0,9.0,33494
3.0,10.0,31480
3.0,11.0,21544
3.0,12.0,15827
3.0,13.0,7866
4.0,3.0,26222
4.0,4.0,24636
4.0,5.0,47072
4.0,6.0,13943
4.0,7.0,39518
4.0,8.0,56540
4.0,9.0,34762
4.0,10.0,6774
4.0,11.0,34307
4.0,12.0,5119
4.0,13.0,5467
5.0,3.0,15259
5.0,4.0,7819
5.0,5.0,12809
5.0,6.0,38210
5.0,7.0,15330
5.0,8.0,35112
5.0,9.0,27807
5.0,10.0,13102
5.0,11.0,25546
5.0,12.0,12496
6.0,4.0,10795
6.0,5.0,14136
6.0,6.0,16222
6.0,7.0,25187
6.0,8.0,29390
6.0,9.0,16645
6.0,10.0,29604
6.0,11.0,27649
6.0,12.0,10044
6.0,13.0,4697
7.0,5.0,9235
7.0,6.0,7605
7.0,7.0,9838
7.0,8.0,14057
7.0,9.0,9412
7.0,10.0,6973
7.0,11.0,5788
7.0,12.0,12390
7.0,13.0,5845
7.0,14.0,4344
