,station_name,station_lat,station_lng,Sat_inflow,Sat_outflow,Sun_inflow,Sun_outflow,Mon_inflow,Mon_outflow,Tues_inflow,Tues_outflow,Wed_inflow,Wed_outflow,Thur_inflow,Thur_outflow,Fri_inflow,Fri_outflow
0,Central Park West & W 76 St,40.77896784,-73.97374737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Pershing Square North,40.751873,-73.977706,5.7546875,6.160416666666666,21.744097222222223,21.889236111111106,22.773090277777783,22.795312499999998,22.60121527777778,22.579687500000002,21.797569444444445,21.78871527777778,21.173784722222226,21.291145833333335,7.810590277777778,7.841493055555554
2,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1 Ave & E 16 St,40.73221853,-73.98165557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Great Jones St,40.72743423,-73.99379025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3 Ave & E 95 St,40.78459679884892,-73.94968539476395,0.6975694444444445,0.6980902777777778,0.8914930555555555,0.8560763888888889,0.8789930555555555,0.873611111111111,0.9708333333333333,0.9581597222222222,0.9034722222222222,0.9211805555555556,0.9006944444444446,0.8640625000000001,0.8133680555555557,0.8388888888888887
7,Broadway & E 14 St,40.73454567,-73.99074142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Columbia St & W 9 St,40.6769993,-74.00647134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,E 7 St & Avenue A,40.72621788,-73.98379855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,W 31 St & 7 Ave,40.749156,-73.9916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,St Marks Pl & 1 Ave,40.72779126,-73.98564945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Bayard St & Leonard St,40.71915571696044,-73.94885390996933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Richardson St & N Henry St,40.71907891179564,-73.94223690032959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,E 25 St & 2 Ave,40.73912601,-73.97973776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Graham Ave & Herbert St,40.71929301,-73.94500379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,E 59 St & Madison Ave,40.76350532,-73.97109243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,E 2 St & 2 Ave,40.72502876,-73.99069656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,W 67 St & Broadway,40.77492513,-73.98266566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,W 21 St & 6 Ave,40.74173969,-73.99415556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,W 44 St & 5 Ave,40.75500254,-73.98014437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Columbus Ave & W 103 St,40.7969347,-73.9643412291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Clinton St & Union St,40.6831164,-73.99785267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Central Park West & W 68 St,40.7734066,-73.97782542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,E 9 St & Avenue C,40.72521311,-73.97768752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,W 84 St & Columbus Ave,40.78499979,-73.97283406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,6 Ave & 9 St,40.668127,-73.98377641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Prospect Pl & Underhill Ave,40.6769694,-73.96579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Water - Whitehall Plaza,40.70255065,-74.0127234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,5 Ave & E 103 St,40.7922553,-73.95249933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Canal St & Rutgers St,40.71427487,-73.98990025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,W 18 St & 6 Ave,40.73971301,-73.99456405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Watts St & Greenwich St,40.72405549,-74.00965965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,W 13 St & 7 Ave,40.73781509,-73.99994661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Union St & Bedford Ave,40.6691783,-73.9554162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Franklin St & W Broadway,40.71911552,-74.00666661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Bank St & Hudson St,40.73652889,-74.00618026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Devoe St & Lorimer St,40.71335226222875,-73.9491033554077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Nassau Ave & Russell St,40.72557,-73.94434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,W Broadway & Spring Street,40.72494672359416,-74.00165855884552,4.728298611111112,4.427951388888888,6.419270833333335,5.523784722222222,7.095833333333334,6.220486111111112,7.156423611111112,6.044444444444444,6.996874999999999,6.186111111111111,7.361805555555555,6.1788194444444455,5.828472222222222,5.464930555555555
44,Fulton St & William St,40.70955958,-74.00653609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,E 31 St & 3 Ave,40.74394314,-73.97966069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
